review,sentiment
This cafe makes the best espresso in town.,good
The coffee was cold and the service was rude.,bad
Friendly staff and a quiet place to work.,good
Overpriced and the pastry was stale.,bad
I come here every morning on purpose.,good
Never again. Long wait for a burnt latte.,bad
Cozy chairs and a perfect cappuccino.,good
They got my order wrong twice.,bad
Lovely music and a great window seat.,good
The wifi never works and nobody cares.,bad
Best almond croissant I have had.,good
"Bitter, watery, and not worth the walk.",bad
The barista remembered my name.,good
Sticky tables and a very long line.,bad
A tiny shop with huge flavor.,good
I left after ten minutes with nothing.,bad
