text,label
"This movie was fantastic from start to finish.",positive
"I hated every minute of it.",negative
"A charming and surprisingly funny story.",positive
"Boring, slow, and completely forgettable.",negative
"The acting was excellent and the plot clicked.",positive
"Waste of time. Do not recommend.",negative
"I smiled the whole way through.",positive
"Painfully bad dialogue and no payoff.",negative
"One of the best things I have watched this year.",positive
"The ending made no sense at all.",negative
"Warm, clever, and well paced.",positive
"I wanted my evening back.",negative
"A delightful surprise with a great cast.",positive
"Cheap jokes and a lazy script.",negative
"I would watch this again tomorrow.",positive
"Skip it. Truly disappointing.",negative
